age,employment,gender,race,household_income,education,state,vote_trump
51,1,0,1,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",MI,1
48,0,0,1,"Less than $14,999",Completed some high school,IL,1
31,1,1,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",NY,1
29,1,0,0,"$95,000 to $99,999",Completed some high school,AR,0
25,0,1,1,"Less than $14,999",Completed some high school,OH,1
28,1,0,1,"$50,000 to $54,999","Completed some college, but no degree",FL,1
18,1,0,0,"Less than $14,999",High school graduate,NV,0
28,0,0,0,"$30,000 to $34,999","Completed some college, but no degree",NC,0
18,0,0,0,"Less than $14,999",High school graduate,PA,0
57,0,1,0,"$200,000 to $249,999",More than College,MS,0
65,0,1,0,"$30,000 to $34,999","Completed some college, but no degree",MI,0
40,0,1,1,"$50,000 to $54,999",High school graduate,CA,0
